38.106.23.234,petal.playstone.org
125.209.234.101,wcs.naver.com
172.217.11.19,www.supervid.net
40.114.105.100,inference.location.live.net
198.134.112.242,padsdown.com
172.217.10.73,www.blogger.com
172.217.10.73,www.blogger.com
172.217.10.73,resources.blogblog.com
104.27.151.179,a2.flashvid.nl
24.105.29.76,telemetry-in.battle.net
31.13.65.1,www.messenger.com
216.165.46.10,newclasses.nyu.edu
40.79.65.237,array504.prod.do.dsp.mp.microsoft.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
31.13.65.7,static.xx.fbcdn.net
104.24.104.190,api.96ba816c4a353953b8361486095b2ff793610164.com
172.217.12.138,play.googleapis.com
172.217.6.205,accounts.google.com
31.13.65.14,video-atl3-1.xx.fbcdn.net
52.113.194.132,config.teams.microsoft.com
13.226.36.126,d3i4yxtzktqr9n.cloudfront.net
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
203.205.248.86,203.205.248.86
52.114.77.34,mobile.pipe.aria.microsoft.com
52.114.77.34,mobile.pipe.aria.microsoft.com
13.226.238.26,api-cache.blizzcon.com
8.36.80.192,events.gfe.nvidia.com
8.36.80.192,events.gfe.nvidia.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
104.31.82.28,73dkt-vwrqs.xyz
75.2.53.94,capi.grammarly.com
151.139.128.10,cdn.intergi.com
104.16.126.175,unpkg.com
13.225.212.80,cdn.pubguru.com
104.27.138.150,epic7x.com
120.92.218.109,api.vc.bilibili.com
31.13.65.1,www.messenger.com
31.13.65.7,external-atl3-1.xx.fbcdn.net
20.36.218.63,settings-win.data.microsoft.com
40.90.22.187,login.live.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
13.225.62.63,api-cache.blizzcon.com
104.44.88.28,skyapi.live.net
20.36.218.63,settings-win.data.microsoft.com
52.114.128.10,v10.events.data.microsoft.com
51.140.157.153,v10.events.data.microsoft.com
20.36.222.39,fe2.update.microsoft.com
185.39.11.247,gounlimited.to
104.17.196.107,celeritascdn.com
35.190.77.201,commercialvalue.org
51.140.157.153,v10.events.data.microsoft.com
62.210.102.81,fs284.gounlimited.to
172.217.11.42,chat-pa.clients6.google.com
65.52.108.90,fe3.delivery.mp.microsoft.com
185.165.241.16,jetload.net
13.226.38.153,app.slack.com
51.140.157.153,v10.events.data.microsoft.com
209.197.3.24,code.jquery.com
151.101.2.217,vjs.zencdn.net
151.101.2.217,vjs.zencdn.net
104.16.88.20,cdn.jsdelivr.net
104.17.65.4,cdnjs.cloudflare.com
213.174.153.231,gadsabz.com
68.183.54.190,cdn.streamroot.io
77.88.21.119,mc.yandex.ru
199.80.54.115,leagent.info
182.92.244.228,dsp.lenovo.com.cn
38.106.231.204,osfsr.lenovomm.com
104.26.3.96,adscustsrv.com
104.20.45.197,api.reasonsecurity.com
190.2.138.19,fantasy.hlssrv.com
190.2.138.19,fantasy.hlssrv.com
52.179.129.229,arc.msn.com
152.195.54.20,services.gfe.nvidia.com
104.28.29.193,tracker.openwebtorrent.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
79.137.73.228,tracker.novage.com.ua
190.2.138.19,fantasy.hlssrv.com
35.186.224.53,api.spotify.com
190.2.138.19,fantasy.hlssrv.com
13.78.179.199,geo.prod.do.dsp.mp.microsoft.com
23.67.197.105,kv801.prod.do.dsp.mp.microsoft.com
13.107.3.128,config.edge.skype.com
23.67.197.105,cp801.prod.do.dsp.mp.microsoft.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
172.217.9.229,mail.google.com
23.67.197.105,cp801.prod.do.dsp.mp.microsoft.com
23.67.197.105,disc801.prod.do.dsp.mp.microsoft.com
8.36.80.192,events.gfe.nvidia.com
51.140.157.153,v10.events.data.microsoft.com
184.28.190.192,static.nvidiagrid.net
77.88.21.119,mc.yandex.ru
52.114.132.20,v10.events.data.microsoft.com
8.36.80.192,events.gfe.nvidia.com
52.109.76.34,nexus.officeapps.live.com
59.111.0.200,mumu.nie.netease.com
60.205.234.210,ldc.lenovo.com.cn
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
38.106.231.204,osfsr.lenovomm.com
38.106.231.204,osfsr.lenovomm.com
60.205.234.210,ldc.lenovo.com.cn
52.114.132.20,v10.events.data.microsoft.com
60.205.234.210,ldc.lenovo.com.cn
8.36.80.192,events.gfe.nvidia.com
40.79.65.235,array502.prod.do.dsp.mp.microsoft.com
60.205.234.210,ldc.lenovo.com.cn
31.13.65.7,static.xx.fbcdn.net
172.253.63.108,imap.gmail.com
122.225.67.200,saascdn.lenovo.com.cn
8.36.80.195,gfe.nvidia.com
8.36.80.192,events.gfe.nvidia.com
65.55.44.109,vortex.data.microsoft.com
52.114.158.53,v10.events.data.microsoft.com
34.225.169.10,rtm.tnt-ea.com
24.105.29.76,telemetry-in.battle.net
122.225.67.200,saascdn.lenovo.com.cn
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.47.16,shibboleth.nyu.edu
172.232.6.201,heads4-ak-spotify-com.akamaized.net
128.238.155.11,128.238.155.11
69.31.116.72,audio4-ak-spotify-com.akamaized.net
216.165.47.12,www.nyu.edu
216.165.47.12,www.nyu.edu
54.241.191.153,api-e4c9863e.duosecurity.com
45.57.91.1,codex.nflxext.com
45.57.91.1,assets.nflxext.com
52.4.249.206,www.netflix.com
128.238.155.11,128.238.155.11
18.235.79.162,ss-prod-ue1-notif-32.aws.adobess.com
17.42.254.12,p14-buy.itunes.apple.com
52.158.122.14,array616.prod.do.dsp.mp.microsoft.com
172.217.10.74,passwordsleakcheck-pa.googleapis.com
23.60.68.74,steamuserimages-a.akamaihd.net
17.248.135.214,p42-keyvalueservice.icloud.com
17.248.135.169,p42-keyvalueservice.icloud.com
54.241.191.153,api-e4c9863e.duosecurity.com
69.31.116.56,audio-akp-bbr-spotify-com.akamaized.net
52.109.8.21,nexusrules.officeapps.live.com
172.217.12.138,play.googleapis.com
172.217.11.46,app-measurement.com
54.241.191.153,api-e4c9863e.duosecurity.com
172.217.11.46,app-measurement.com
216.165.47.16,shibboleth.nyu.edu
216.165.47.12,www.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
216.165.78.28,sis.portal.nyu.edu
172.217.12.202,fonts.googleapis.com
172.217.10.131,fonts.gstatic.com
172.217.12.206,www.youtube.com
172.217.12.202,fonts.googleapis.com
23.67.194.192,cloud.typography.com
17.57.144.8,courier.push.apple.com
65.55.44.109,vortex.data.microsoft.com
52.114.132.73,browser.pipe.aria.microsoft.com
52.179.129.229,arc.msn.com
165.254.49.140,steamcdn-a.akamaihd.net
31.13.65.7,scontent.xx.fbcdn.net
65.55.44.109,vortex.data.microsoft.com
40.90.136.163,skyapi.live.net
40.90.136.163,skyapi.live.net
3.215.72.34,aero.bankofamerica.com
3.218.27.87,datarouter.ol.epicgames.com
38.106.231.204,osfsr.lenovomm.com
40.90.136.163,skyapi.live.net
216.165.78.15,sis.nyu.edu
172.217.10.74,firebasestorage.googleapis.com
17.248.187.140,api.apple-cloudkit.com
40.70.184.83,ieonlinews.microsoft.com
34.227.0.168,prd-collector-anon.playbuzz.com
216.165.78.15,sis.nyu.edu
159.153.190.222,proxy.novafusion.ea.com
192.16.31.139,www.dota2.com
23.60.68.72,steamuserimages-a.akamaihd.net
23.60.68.72,steamuserimages-a.akamaihd.net
23.60.68.72,steamuserimages-a.akamaihd.net
151.101.200.193,i.imgur.com
151.101.200.193,i.imgur.com
151.101.200.193,i.imgur.com
151.101.0.133,raw.githubusercontent.com
151.101.0.133,raw.githubusercontent.com
151.101.0.133,raw.githubusercontent.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
152.195.54.20,services.gfe.nvidia.com
216.165.46.10,newclasses.nyu.edu
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
198.187.196.25,secure.touchnet.com
8.36.80.192,events.gfe.nvidia.com
104.24.105.190,api.96ba816c4a353953b8361486095b2ff793610164.com
8.36.80.192,events.gfe.nvidia.com
52.6.252.13,river.data.ea.com
20.36.218.63,settings-win.data.microsoft.com
13.226.36.126,d3i4yxtzktqr9n.cloudfront.net
20.36.218.63,settings-win.data.microsoft.com
180.169.106.30,casper.saschina.org
190.2.138.19,fantasy.hlssrv.com
13.226.36.61,d3cv4a9a9wh0bt.cloudfront.net
52.179.129.229,arc.msn.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
54.246.111.145,a.wunderlist.com
159.153.190.222,proxy.novafusion.ea.com
52.218.253.168,s3-us-west-2.amazonaws.com
40.90.136.163,skyapi.live.net
107.20.240.232,duckduckgo.com
50.16.241.130,staticcdn.duckduckgo.com
172.253.63.188,mtalk.google.com
54.84.147.205,na1e-acc.services.adobe.com
35.170.254.125,cc-api-data.adobe.io
162.125.19.131,bolt.dropbox.com
23.66.21.99,go.microsoft.com
