151.101.250.248,i.scdn.co
18.210.147.153,t.myvisualiq.net
172.217.11.2,googleads4.g.doubleclick.net
172.217.11.2,googleads4.g.doubleclick.net
18.210.147.153,t.myvisualiq.net
172.217.12.166,s0.2mdn.net
172.217.12.166,s0.2mdn.net
13.225.62.93,d.agkn.com
162.159.135.233,discordapp.com
159.127.42.233,casale-match.dotomi.com
54.82.194.252,d.adroll.com
3.218.101.84,match.deepintent.com
173.231.178.81,cm.adgrx.com
204.154.111.142,rtb2.doubleverify.com
23.194.121.67,dsum.casalemedia.com
23.194.121.67,dsum-sec.casalemedia.com
204.154.111.142,rtb2.doubleverify.com
23.194.121.67,dsum.casalemedia.com
23.206.124.224,sb.voicefive.com
13.226.39.82,m.accmgr.com
204.154.111.142,tps616.doubleverify.com
204.154.111.142,tps611.doubleverify.com
204.154.111.142,tps611.doubleverify.com
17.179.252.32,gsa.apple.com
205.185.216.10,servedby.flashtalking.com
34.194.0.53,magnetic.t.domdex.com
54.91.179.181,match.360yield.com
54.91.179.181,match.360yield.com
3.210.11.140,cs.chocolateplatform.com
3.210.11.140,cs.chocolateplatform.com
52.45.33.138,ups.analytics.yahoo.com
52.45.33.138,ups.analytics.yahoo.com
23.193.217.21,cs.media.net
23.193.217.21,cs.media.net
52.5.55.104,ads.yieldmo.com
35.207.24.140,rtb.mfadsrvr.com
31.13.66.19,static.xx.fbcdn.net
205.185.216.42,cdn.flashtalking.com
172.217.6.198,ad.doubleclick.net
51.178.20.139,c.eu1.dyntrk.com
23.206.174.153,sb.scorecardresearch.com
23.194.120.78,sa.scorecardresearch.com
205.185.216.42,cdn.flashtalking.com
18.204.126.182,s.update.rubiconproject.com
104.18.34.28,leetcode.com
64.202.112.63,sync.outbrain.com
104.16.92.60,dmp.truoptik.com
54.243.114.4,sync.jivox.com
204.154.111.142,tps623.doubleverify.com
204.154.111.142,tps623.doubleverify.com
188.165.27.173,grey.erne.co
136.243.75.34,px.adhigh.net
31.172.81.172,sync.bumlam.com
213.155.156.164,d5p.de17a.com
202.241.208.57,tg.socdm.com
124.146.215.2,bid.socdm.com
52.197.104.249,sync.ad-stir.com
204.154.111.142,tps30.doubleverify.com
17.248.187.141,metrics-config.icloud.com
204.154.111.142,tps30.doubleverify.com
85.194.243.23,pixel.onaudience.com
204.154.111.142,tps622.doubleverify.com
204.154.111.142,tps622.doubleverify.com
69.166.1.10,sync.go.sonobi.com
185.167.164.42,c1.adform.net
69.166.1.10,sync.go.sonobi.com
52.24.6.146,adspsp.com
69.166.1.10,sync.go.sonobi.com
51.178.20.139,c.eu1.dyntrk.com
51.178.20.139,c.eu1.dyntrk.com
3.218.119.13,sync.crwdcntrl.net
204.154.111.108,tps.doubleverify.com
204.154.111.142,tps10248.doubleverify.com
87.98.252.5,green.erne.co
204.154.111.142,tps10266.doubleverify.com
64.202.112.63,sync.outbrain.com
52.5.52.76,i.liadm.com
35.211.114.141,x.bidswitch.net
204.154.111.142,tps10204.doubleverify.com
204.154.111.142,tps10272.doubleverify.com
54.175.87.114,ups.analytics.yahoo.com
23.40.30.102,xp.apple.com
