52.46.130.13,s.amazon-adsystem.com
148.153.38.118,api.vc.bilibili.com
148.153.38.118,api.vc.bilibili.com
52.114.77.34,v10.events.data.microsoft.com
104.18.156.37,clientconfig.rpg.riotgames.com
151.101.2.217,forum.paradoxplaza.com
52.114.74.44,v10.events.data.microsoft.com
165.254.0.106,upos-hz-mirrorakam.akamaized.net
165.254.0.106,upos-hz-mirrorakam.akamaized.net
172.217.3.106,safebrowsing.googleapis.com
13.225.230.22,firefox.settings.services.mozilla.com
192.16.31.139,www.dota2.com
209.85.164.185,r3---sn-qxoedn7d.googlevideo.com
52.10.160.98,incoming.telemetry.mozilla.org
5.62.44.230,analytics.ff.avast.com
148.153.38.118,api.bilibili.com
3.228.241.16,datarouter.ol.epicgames.com
13.225.230.12,snippets.cdn.mozilla.net
52.10.160.98,incoming.telemetry.mozilla.org
13.107.5.88,evoke-windowsservices-tas.msedge.net
104.117.41.227,cdn.onenote.net
104.17.65.4,cdnjs.cloudflare.com
13.225.230.124,static.virdocs.com
3.225.108.58,platform.virdocs.com
3.225.108.58,platform.virdocs.com
23.60.68.74,steamuserimages-a.akamaihd.net
23.60.68.74,steamuserimages-a.akamaihd.net
23.60.68.74,steamuserimages-a.akamaihd.net
31.13.66.35,www.facebook.com
52.179.129.229,arc.msn.com
151.101.200.193,i.imgur.com
151.101.200.193,i.imgur.com
151.101.200.193,i.imgur.com
172.217.10.142,www.youtube.com
54.225.147.125,tracking.overwolf.com
3.217.207.251,public-ubiservices.ubi.com
