192.124.249.11,twist.moe
151.101.249.36,cdn1.kongcdn.com
13.225.215.209,get.s-onetag.com
172.253.122.108,imap.gmail.com
13.225.212.12,beacon.s-onetag.com
23.202.38.73,sb.scorecardresearch.com
130.211.16.53,d.joinhoney.com
104.26.10.100,mrb.upapi.net
31.13.65.7,connect.facebook.net
104.26.10.100,mrb.upapi.net
13.226.39.82,ad-delivery.net
192.124.249.11,twist.moe
23.10.124.134,api.weather.com
23.92.190.69,ap.lijit.com
67.72.99.146,web.hb.ad.cpe.dotomi.com
68.67.160.25,ib.adnxs.com
35.244.186.129,kongregate-d.openx.net
104.112.10.99,as-sec.casalemedia.com
31.13.65.36,www.facebook.com
65.55.44.109,vortex.data.microsoft.com
17.42.254.11,p59-buy.itunes.apple.com
20.36.218.63,settings-win.data.microsoft.com
96.116.129.16,xerxes-sub.xerxessecure.com
96.116.129.16,xerxes-sub.xerxessecure.com
68.67.160.26,nym1-ib.adnxs.com
209.204.233.34,a3462.casalemedia.com
209.204.233.34,a3462.casalemedia.com
192.184.68.211,exch.quantserve.com
192.184.68.231,pixel.quantcount.com
68.67.160.26,nym1-ib.adnxs.com
107.167.110.216,sitecheck.opera.com
149.56.126.49,funnyjunk.com
34.201.203.209,match.deepintent.com
35.186.239.238,cm.eyereturn.com
173.231.178.83,cm.adgrx.com
54.88.253.99,nep.advangelists.com
3.228.55.163,um2.eqads.com
52.202.170.46,sync.srv.stackadapt.com
104.112.10.99,dsum.casalemedia.com
172.217.6.198,ad.doubleclick.net
104.112.10.99,dsum.casalemedia.com
104.112.10.99,dsum-sec.casalemedia.com
104.112.10.99,dsum.casalemedia.com
68.67.160.25,ib.adnxs.com
104.112.10.99,dsum-sec.casalemedia.com
198.27.121.189,bigcdnjs4.funnyjunk.com
104.112.10.99,dsum-sec.casalemedia.com
31.13.65.2,ad.atdmt.com
192.184.68.241,pixel.quantserve.com
3.18.79.153,geo.moatads.com
18.218.78.34,mb.moatads.com
96.17.66.14,quantcast584928381.s.moatpixel.com
96.17.66.14,quantcast584928381.s.moatpixel.com
96.17.66.14,quantcast584928381.s.moatpixel.com
40.90.22.186,login.live.com
68.67.160.137,secure.adnxs.com
72.21.206.140,s.amazon-adsystem.com
172.217.3.110,app-measurement.com
17.134.127.250,gs-loc.apple.com
70.37.74.6,smartscreen-prod.microsoft.com
104.106.62.221,remote-config.gog.com
70.37.74.6,smartscreen-prod.microsoft.com
20.36.218.208,presence-heartbeat.xboxlive.com
54.85.174.66,datarouter.ol.epicgames.com
31.13.66.4,graph.facebook.com
31.13.66.4,graph.facebook.com
52.18.244.146,ws1.dashlane.com
96.114.156.145,oauth.xfinity.com
147.75.96.162,static.hotjar.com
144.217.180.139,bigcdnjs1.funnyjunk.com
147.75.198.222,vc.hotjar.io
52.215.170.182,in.hotjar.com
52.114.77.34,browser.pipe.aria.microsoft.com
31.13.65.36,www.facebook.com
128.116.112.44,users.roblox.com
