3.83.200.164,app.getacceptd.com
52.205.67.244,dpm.demdex.net
23.92.190.74,gslbeacon.lijit.com
23.92.190.68,vap2ewr1.lijit.com
156.154.200.36,aa.agkn.com
162.223.54.6,sovrn.apxlv.com
162.223.54.6,tag.apxlv.com
52.72.63.17,i.liadm.com
50.16.174.192,ps.eyeota.net
52.72.137.242,dx.bigsea.weborama.com
23.92.190.68,ce.lijit.com
52.73.248.173,track2.securedvisit.com
34.236.87.172,thrtle.com
156.154.200.36,aa.agkn.com
3.212.1.80,e.dlx.addthis.com
96.17.64.29,contextual.media.net
50.116.194.23,d.turn.com
199.127.204.150,sync.1rx.io
52.72.137.242,dx.bigsea.weborama.com
3.224.142.63,tag.cogocast.net
209.15.36.37,pixel-sync.sitescout.com
99.83.128.14,pixel.voltn.com
52.45.181.21,mid.rkdms.com
54.84.47.220,match.adsrvr.org
23.92.190.68,ce.lijit.com
156.154.200.36,aa.agkn.com
3.15.106.67,s.thebrighttag.com
23.92.190.68,ce.lijit.com
199.127.204.150,sync.1rx.io
209.15.36.37,pixel-sync.sitescout.com
208.185.50.80,pixel.rubiconproject.com
156.154.200.36,aa.agkn.com
50.116.194.23,d.turn.com
147.75.39.192,loadus.exelator.com
54.194.146.225,s.cpx.to
156.154.200.36,aa.agkn.com
35.169.43.149,match.prod.bidr.io
18.233.25.115,x.dlx.addthis.com
35.211.114.141,x.bidswitch.net
107.23.99.139,e.nexac.com
13.226.39.64,map.go.affec.tv
34.208.178.19,live.rezync.com
34.228.98.110,sync.tidaltv.com
156.154.200.36,aa.agkn.com
34.228.98.110,sync.tidaltv.com
23.60.170.99,sb.scorecardresearch.com
68.67.181.207,secure.adnxs.com
151.101.202.49,ds.reson8.com
23.60.170.99,sb.scorecardresearch.com
104.16.91.60,dmp.truoptik.com
149.56.21.87,ads.stickyadstv.com
52.73.171.220,rtb.gumgum.com
54.203.211.36,usermatch.targeting.unrulymedia.com
23.10.89.229,tags.bluekai.com
23.10.89.229,tags.bluekai.com
198.8.70.128,p.rfihub.com
199.187.193.166,rtb-csync.smartadserver.com
54.209.223.163,bpi.rtactivate.com
35.190.113.31,atemda.com
50.116.194.21,r.turn.com
216.165.46.10,newclasses.nyu.edu
216.165.46.10,newclasses.nyu.edu
34.68.125.225,rpc.znly.co
17.167.194.149,gs-loc.apple.com
52.20.169.87,river.data.ea.com
34.255.131.199,char-lw-nl-005-5.warthunder.com
13.225.62.58,choices.trustarc.com
204.154.111.121,tps10280.doubleverify.com
204.154.111.121,tps10245.doubleverify.com
204.154.111.121,tps10245.doubleverify.com
52.179.129.229,arc.msn.com
172.232.7.26,resources.tidal.com
104.114.72.27,resources.tidal.com
104.114.72.27,resources.tidal.com
69.94.68.25,uib.ff.avast.com
128.116.112.44,users.roblox.com
54.156.65.23,ss-prod-ue1-notif-32.aws.adobess.com
159.153.190.222,proxy.novafusion.ea.com
204.154.111.143,tps10240.doubleverify.com
20.36.219.28,activity.windows.com
104.16.1.92,na.ledge.leagueoflegends.com
52.25.170.114,ekg.riotgames.com
13.226.39.84,developer.mozilla.org
52.25.170.114,ekg.riotgames.com
40.91.72.120,presence-heartbeat.xboxlive.com
45.57.91.1,codex.nflxext.com
54.81.235.18,www.netflix.com
104.16.36.99,playerpreferences.riotgames.com
192.229.210.163,video.twimg.com
192.229.210.163,video.twimg.com
52.25.170.114,ekg.riotgames.com
31.13.65.7,connect.facebook.net
104.17.165.5,pft.leagueoflegends.com
52.20.169.87,river.data.ea.com
104.18.96.33,acs.leagueoflegends.com
23.10.114.134,content-system.gog.com
69.192.108.133,livetileedge.dsx.mp.microsoft.com
69.192.108.133,storeedgefd.dsx.mp.microsoft.com
18.214.58.81,espn.hb.omtrdc.net
18.214.58.81,espn.hb.omtrdc.net
18.214.58.81,espn.hb.omtrdc.net
40.71.12.231,dc.services.visualstudio.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
165.227.16.206,api.thewikigame.com
128.116.112.44,users.roblox.com
