69.166.1.15,apex.go.sonobi.com
131.253.33.254,a-ring-fallback.msedge.net
13.107.246.254,t-ring.msedge.net
13.107.4.254,c-ring.msedge.net
204.79.197.222,fp.msedge.net
209.85.201.189,16.client-channel.google.com
52.40.135.92,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
52.40.135.92,ekg.riotgames.com
104.20.50.83,st.bebi.com
68.183.152.175,ssm-host-us-nyc-23.zeusaihe.tk
68.183.152.175,ssm-host-us-nyc-23.zeusaihe.tk
203.205.239.16,p.qlogo.cn
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
52.218.219.88,s3-us-west-2.amazonaws.com
52.13.229.94,ekg.riotgames.com
20.36.218.63,settings-win.data.microsoft.com
52.114.6.47,v10.events.data.microsoft.com
66.110.98.67,eaassets-a.akamaihd.net
52.179.129.229,arc.msn.com
128.116.112.44,users.roblox.com
52.109.12.20,nexusrules.officeapps.live.com
172.217.12.138,remotedesktop-pa.googleapis.com
172.217.12.138,remotedesktop-pa.googleapis.com
52.218.160.10,ubp-common-us-prod.s3.amazonaws.com
52.230.220.159,fe2cr.update.microsoft.com
40.114.105.100,inference.location.live.net
101.79.241.137,dimg.donga.com
211.110.62.164,image.donga.com
104.84.115.80,go.microsoft.com
204.79.197.200,ieonline.microsoft.com
152.195.54.20,services.gfe.nvidia.com
24.105.29.76,telemetry-in.battle.net
141.226.224.32,cds.taboola.com
141.226.224.32,cds.taboola.com
152.195.54.20,services.gfe.nvidia.com
104.18.97.33,acs.leagueoflegends.com
104.16.2.92,na.ledge.leagueoflegends.com
20.36.252.129,g.live.com
69.192.109.196,oneclient.sfx.ms
52.114.128.9,mobile.pipe.aria.microsoft.com
52.114.128.9,mobile.pipe.aria.microsoft.com
20.36.218.63,settings-win.data.microsoft.com
34.232.247.41,datarouter.ol.epicgames.com
52.109.12.20,nexusrules.officeapps.live.com
13.107.3.128,config.edge.skype.com
52.13.229.94,ekg.riotgames.com
13.225.218.115,d3cv4a9a9wh0bt.cloudfront.net
23.43.56.201,steamcommunity-a.akamaihd.net
23.43.56.201,steamcommunity-a.akamaihd.net
204.79.197.200,www.bing.com
23.203.127.76,www.dominos.com
23.203.127.76,cache.dominos.com
13.107.3.128,config.edge.skype.com
13.107.3.128,config.edge.skype.com
128.116.112.44,users.roblox.com
40.90.22.191,login.live.com
52.114.6.47,v10.events.data.microsoft.com
52.13.229.94,ekg.riotgames.com
104.17.142.21,loadouts.na2.leagueoflegends.com
52.114.6.47,v10.events.data.microsoft.com
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
165.254.49.142,steamcdn-a.akamaihd.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
13.225.218.225,d3cv4a9a9wh0bt.cloudfront.net
191.232.139.2,fe3cr.delivery.mp.microsoft.com
52.114.128.9,v10.events.data.microsoft.com
172.217.10.14,www.youtube.com
13.225.222.223,www.flickr.com
31.13.65.36,www.facebook.com
162.159.135.233,discordapp.com
192.81.242.131,34acf0414d836d3f8d491c6186153694.my.2k.com
52.89.183.187,ekg.riotgames.com
52.177.83.224,tsfe.trafficshaping.dsp.mp.microsoft.com
52.13.229.94,ekg.riotgames.com
52.114.132.23,v10.events.data.microsoft.com
104.69.60.103,geover.prod.do.dsp.mp.microsoft.com
40.69.221.239,geo.prod.do.dsp.mp.microsoft.com
104.69.60.172,cp801.prod.do.dsp.mp.microsoft.com
104.69.60.172,cp801.prod.do.dsp.mp.microsoft.com
104.69.60.172,cp801.prod.do.dsp.mp.microsoft.com
104.69.60.172,cp801.prod.do.dsp.mp.microsoft.com
104.69.60.172,cp801.prod.do.dsp.mp.microsoft.com
104.69.60.172,cp801.prod.do.dsp.mp.microsoft.com
69.192.189.231,disc801.prod.do.dsp.mp.microsoft.com
69.192.189.231,disc801.prod.do.dsp.mp.microsoft.com
69.192.189.231,disc801.prod.do.dsp.mp.microsoft.com
69.192.189.231,disc801.prod.do.dsp.mp.microsoft.com
69.192.189.231,disc801.prod.do.dsp.mp.microsoft.com
69.192.189.231,disc801.prod.do.dsp.mp.microsoft.com
104.69.60.172,cp801.prod.do.dsp.mp.microsoft.com
52.114.132.23,v10.events.data.microsoft.com
104.17.48.19,na1.cap.riotgames.com
13.225.230.28,api-cache.blizzcon.com
24.105.29.76,telemetry-in.battle.net
52.114.132.23,v10.events.data.microsoft.com
